,0
0,rbtshki
1,yandex
2,techno_yandex
3,pochinka
4,mknewsru
5,gigabyteru
6,habr_com
7,SamsungRussia
8,alice_yndx
9,realmerussia
10,overlamer1
11,twogis
12,naebnet
13,GPTMainNews
14,exploitex
15,Wylsared
16,Romancev768
17,rozetked
18,d_code
19,official_gigachat
20,TechGPTNews
21,mintsifry
22,DeepTechNET
23,mvideoandeldorado
24,rbtshki
25,yandex
26,techno_yandex
27,pochinka
28,mknewsru
29,gigabyteru
30,habr_com
31,SamsungRussia
32,alice_yndx
33,realmerussia
34,overlamer1
35,twogis
36,naebnet
37,GPTMainNews
38,exploitex
39,Wylsared
40,Romancev768
41,rozetked
42,d_code
43,official_gigachat
44,TechGPTNews
45,mintsifry
46,DeepTechNET
47,mvideoandeldorado
48,rbtshki
49,yandex
50,techno_yandex
51,pochinka
52,mknewsru
53,gigabyteru
54,habr_com
55,SamsungRussia
56,alice_yndx
57,realmerussia
58,overlamer1
59,twogis
60,Deanon_Artemka
61,SecLabNews
62,haccking
63,irozysk
64,true_secator
65,Russian_OSINT
66,codeby_sec
67,elliot_cybersec
68,antidetect
69,alukatsky
70,CyberSec_tg
71,exploitex
72,whackdoor
73,bugfeature
74,Social_engineering
75,dataleak
76,overlamer1
77,cyber_cabb
78,hack_less
79,cyberyozh_official
80,Deanon_Artemka
81,SecLabNews
82,haccking
83,irozysk
84,true_secator
85,Russian_OSINT
86,codeby_sec
87,elliot_cybersec
88,antidetect
89,alukatsky
90,CyberSec_tg
91,exploitex
92,whackdoor
93,bugfeature
94,Social_engineering
95,dataleak
96,overlamer1
97,cyber_cabb
98,hack_less
99,cyberyozh_official
100,Deanon_Artemka
101,SecLabNews
102,haccking
103,irozysk
104,true_secator
105,Russian_OSINT
106,codeby_sec
107,elliot_cybersec
108,antidetect
109,alukatsky
110,CyberSec_tg
111,webprogrammists
112,amnezia_vpn
113,sysodmins_news
114,radio_t_chat
115,rztkd_chat
116,csharp_faggots_fan_club
117,ssl1c
118,appleinsiderru_official
119,official_xochat
120,sberdevices_chat
121,tamoshub
122,berkat_mobi2
123,K_3_D
124,telefon_mastera
125,chatappleznaika
126,webprogrammists
127,amnezia_vpn
128,sysodmins_news
129,radio_t_chat
130,rztkd_chat
131,csharp_faggots_fan_club
132,ssl1c
133,appleinsiderru_official
134,official_xochat
135,sberdevices_chat
136,tamoshub
137,berkat_mobi2
138,K_3_D
139,telefon_mastera
140,chatappleznaika
141,webprogrammists
142,amnezia_vpn
143,sysodmins_news
144,radio_t_chat
145,TrendWatching24
146,neuralmachine
147,rbtshki
148,mintsifry
149,exploitex
150,naebnet
151,whackdoor
152,rozetked
153,Wylsared
154,chatgpt3
155,encryptedch
156,remedia
157,bugnotfeature
158,itmemes
159,codecamp
160,TrendWatching24
161,neuralmachine
162,rbtshki
163,mintsifry
164,exploitex
165,naebnet
166,whackdoor
167,rozetked
168,Wylsared
169,chatgpt3
170,encryptedch
171,remedia
172,bugnotfeature
173,itmemes
174,codecamp
175,TrendWatching24
176,neuralmachine
177,rbtshki
178,tgstat.ru
179,xakep_ru
180,SecLabNews
181,d_code
182,Wylsared
183,yandex
184,xakep_ru
185,SecLabNews
186,d_code
187,Wylsared
188,yandex
189,xakep_ru
190,SecLabNews
191,naebnet
192,gpt4telegram
193,GPTMainNews
194,milord_q
195,exploitex
196,Wylsared
197,TrendWatching24
198,Romancev768
199,chatgpt3
