name_ru,name_eng
Аарон,Aaron
Абайел,Abajel
Абакум,Abakum
Абдалла,Abdalla
Абдиел,Abdiel
Абдул,Abdul
Абдулла,Abdulla
Абдуллах,Abdullah
Абель,Abel
Абиел,Abiel
Абнер,Abner
Абрам,Abram
Абрахам,Abraham
Абросим,Abrosim
Аваг,Avag
Аввакум,Avvakum
Авессалом,Avessalom
Август,Avgust
Августин,Avgustin
Авдей,Avdej
Авдий,Avdij
Авель,Avel
Авенир,Avenir
Аверий,Averij
Аверкий,Averkij
Аверьян,Averjan
Авксентий,Avksentij
Аврам,Avram
Авраам,Avraam
Аврелиан,Avrelian
Аврелий,Avrelij
Автоном,Avtonom
Агамемнон,Agamemnon
Агап,Agap
Агапий,Agapij
Агапит,Agapit
Агафангел,Agafangel
Агафон,Agafon
Агей,Agej
Аггей,Aggej
Адальберт,Adalbert
Адам,Adam
Адибек,Adibek
Адольф,Adolf
Адольфус,Adolfus
Адонис,Adonis
Адриан,Adrian
Азар,Azar
Азарий,Azarij
Азат,Azat
Айзек,Ajzek
Айк,Ajk
Акакий,Akakij
Акела,Akela
Акила,Akila
Акилла,Akilla
Аким,Akim
Акиндин,Akindin
Акинф,Akinf
Акинфий,Akinfij
Аксён,Aksen
Аксентий,Aksentij
Ал,Al
Алан,Alan
Аластер,Alaster
Албан,Alban
Албин,Albin
Алгар,Algar
Алдвин,Aldvin
Алден,Alden
Алджернон,Aldzhernon
Алдис,Aldis
Алдос,Aldos
Алдред,Aldred
Алек,Alek
Алекс,Aleks
Александр,Aleksandr
Алексей,Aleksej
Алексий,Aleksij
Алексис,Aleksis
Алексиус,Aleksius
Али,Ali
Алик,Alik
Алим,Alim
Алистер,Alister
Алишер,Alisher
Аллан,Allan
Аллен,Allen
Алли,Alli
Алоиз,Aloiz
Алойзиус,Alojzius
Алоис,Alois
Алойсиус,Alojsius
Альва,Alva
Альберт,Albert
Альбин,Albin
Альфред,Alfred
Амброзио,Ambrozio
Амброзиос,Ambrozios
Амброзиус,Ambrozius
Амвросий,Amvrosij
Амос,Amos
Амфилохий,Amfilohij
Ананий,Ananij
Анастасий,Anastasij
Анатолий,Anatolij
Ангел,Angel
Ангус,Angus
Анджело,Andzhelo
Андрей,Andrej
Андриан,Andrian
Андрис,Andris
Андрон,Andron
Андроний,Andronij
Андроник,Andronik
Анект,Anekt
Анемподист,Anempodist
Анжел,Anzhel
Анжело,Anzhelo
Аникей,Anikej
Аникий,Anikij
Аникита,Anikita
Анисий,Anisij
Анисим,Anisim
Анселм,Anselm
Ансель,Ansel
Ансельм,Anselm
Антиох,Antioh
Антип,Antip
Антипа,Antipa
Антипий,Antipij
Антон,Anton
Антоний,Antonij
Антонин,Antonin
Антонио,Antonio
Антроп,Antrop
Антропий,Antropij
Ануфрий,Anufrij
Аполлинарий,Apollinarij
Аполлон,Apollon
Аполлос,Apollos
Ардалион,Ardalion
Ардис,Ardis
Ардын,Ardyn
Ареф,Aref
Арефий,Arefij
Арий,Arij
Ариус,Arius
Аристарх,Aristarh
Аристид,Aristid
Аристотель,Aristotel
Ариэль,Ariel
Аркадий,Arkadij
Арни,Arni
